Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Maqam Nahawand A,9;4;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2049",Y,2,None
Maqam Nahawand D,9;4;9;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2050",Y,2,None
Maqam Nahawand Murassa A,9;4;9;4;14;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2051",Y,2,None
Maqam Nahawand Murassa D,9;4;9;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2052",Y,2,None
Maqam Nahawand Kabir D,9;4;9;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2054",Y,2,None
Maqam Nawa'athar A,9;4;14;4;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2055",Y,2,None
Maqam Nawa'athar D,9;4;14;4;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2056",Y,2,None
Maqam Nakriz A,9;4;14;4;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2057",Y,2,None
Maqam Nakriz D,9;4;14;4;9;7;6,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2058",Y,2,None
Maqam Zankulah,4;14;4;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2059",Y,2,None
Maqam Hijaz Kar Kurd A,4;14;4;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2060",Y,2,None
Maqam Hijaz Kar Kurd D,4;9;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2061",Y,2,None
Maqam Hijaz Kar A,4;14;4;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2063",Y,2,None
Maqam Hijaz Kar D,4;14;4;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2064",Y,2,None
Maqam Suzdilara 1 A,9;9;4;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2065",Y,2,None
Maqam Suzdilara 1 D,9;7;6;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2066",Y,2,None
Maqam Basandida A,9;4;14;4;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2069",Y,2,None
Maqam Basandida D,9;7;6;9;9;7;6,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2070",Y,2,None
Maqam Tarz Nawayn,4;9;9;4;14;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2071",Y,2,None
Maqam Mahur A,9;9;4;9;9;9;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2072",Y,2,None
Maqam Mahur D,9;7;6;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2073",Y,2,None
Maqam Dalanshin A,9;7;6;9;9;7;6,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2074",Y,2,None
Maqam Dalanshin D,9;7;6;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2075",Y,2,None
Maqam Bayati A,6;7;9;9;6;7;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2074",Y,2,None
Maqam Bayati D,6;7;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2075",Y,2,None
Maqam Bayati Shuri A,6;7;9;4;14;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2076",Y,2,None
Maqam Bayati Shuri D,6;7;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2077",Y,2,None
Maqam Husayni A,6;7;8;8;6;7;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2079",Y,2,None
Maqam Husayni D,6;7;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2080",Y,2,None
Maqam Hijaz A,5;13;4;9;7;6;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2081",Y,2,None
Maqam Hijaz D,4;13;4;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2082",Y,2,None
Maqam Saba D,6;7;4;14;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2085",Y,2,None
Maqam Saba Zamzama,4;9;4;14;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2086",Y,2,None
Maqam Kurd,4;9;9;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2090",Y,2,None
Maqam Hisar 1,6;7;14;4;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2093",Y,2,None
Maqam Hisar 2,6;7;14;4;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2094",Y,2,None
Maqam Shahnaz,4;14;4;9;4;14;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2095",Y,2,None
Maqam Nishaburk A,9;7;6;9;6;7;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2096",Y,2,None
Maqam Nishaburk D,9;7;6;9;4;9;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2097",Y,2,None
Maqam Sikah A,6;9;9;7;6;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2099",Y,2,None
Maqam Sikah D,6;9;9;4;9;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2100",Y,2,None
Maqam Huzam,6;9;4;14;4;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2101",Y,2,None
Maqam Musta'ar A,11;4;9;4;9;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2102",Y,2,None
Maqam Musta'ar D,11;4;9;4;9;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2103",Y,2,None
Maqam Mayyah,6;9;9;4;9;9;7,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2104",Y,2,None
Maqam Jaharkah,9;9;4;9;9;7;6,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2105",Y,2,None
Maqam Awj A,9;9;9;4;9;9;4,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2108",Y,2,None
Maqam Awj D,9;9;4;9;9;4;9,Arabic,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2109",Y,2,None
Cargah Makam,9;9;4;9;9;9;4,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2122",Y,2,None
Buselik Makam 1,9;4;9;9;4;13;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2123",Y,2,None
Buselik Makam 2,9;4;9;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2124",Y,2,None
Buselik Makam 3,9;4;9;5;12;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2125",Y,2,None
Rast Makam A,9;8;5;9;9;8;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2126",Y,2,None
Rast Makam D,9;8;5;9;9;4;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2127",Y,2,None
Ussak Makam,8;5;9;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2128",Y,2,None
Hicaz Makam 1,5;12;5;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2129",Y,2,None
Hicaz Makam 2,5;12;5;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2130",Y,2,None
Humayun Makam 1,5;12;5;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2131",Y,2,None
Humayun Makam 2,5;12;5;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2132",Y,2,None
Uzzal Makam 1,5;12;5;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2133",Y,2,None
Uzzal Makam 2,5;12;5;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2134",Y,2,None
Uzzal Makam 3,5;12;5;9;5;12;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2134",Y,2,None
Zirguleli Makam,5;12;5;9;5;12;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2135",Y,2,None
Neva Makam,8;5;9;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2136",Y,2,None
Huseyni Makam,8;5;9;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2137",Y,2,None
Karcigar Makam,8;5;9;5;12;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2138",Y,2,None
Basit Suz-nak Makam,9;8;5;9;5;12;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2139",Y,2,None
Kurdi Makam,4;9;9;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2140",Y,2,None
Bayati Makam,8;5;9;9;4;9;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2141",Y,2,None
Muhayyer Makam,8;5;9;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2142",Y,2,None
Tahir Makam,8;5;9;9;8;5;9,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2143",Y,2,None
Sehnaz Buselik Makam,9;4;9;9;4;13;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2144",Y,2,None
Irak Makam,5;9;8;5;9;9;8,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2145",Y,2,None
Nikriz Makam,9;5;12;5;9;8;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2146",Y,2,None
Nev'eser Makam,9;5;12;5;5;12;5,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2147",Y,2,None
Huzzam Makam,5;9;5;13;5;12;4,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2149",Y,2,None
Segah Makam,5;9;8;9;5;13;4,Turkish,Middle East,53-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2150",Y,2,None
