Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Kokin Joshi,23214,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2094",Y,1,None
Akebono,21423,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2095",Y,1,None
Han Iwato,14232,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2096",Y,1,None
Ryukan,41241,Okinawan,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2097",Y,1,None
Yosenpo Rising,23232,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2098",Y,1,None
Yosenpo Descending,23223,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2099",Y,1,None
Isenpo Rising,14232,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2100",Y,1,None
Isenpo Descending,14214,Japanese,East Asia,12-tet;Pythagorean,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2101",Y,1,None
Silaba,2212221,Kora,Africa,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2102",Y,1,None
Tomora Mesengo,2122212,Kora,Africa,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2103",Y,1,None
Sauta,2221221,Kora,Africa,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2104",Y,1,None
Hardino,2212221,Kora,Africa,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2105",Y,1,None
Bilawal,2212221,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2106",Y,1,None
Kalyan,2221221,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2107",Y,1,None
Khamaj,2212212,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2108",Y,1,None
