Name,Culture,Continent,Country,Theory,Reference,scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,int_0,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8
Espla's Scale,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2045",100,300,400,500,600,800,1000,1200,,100,200,100,100,100,200,200,200,
Double Harmonic,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2046",100,400,500,700,800,1100,1200,,,100,300,100,200,100,300,100,,
Harmonic Phrygian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2047",100,300,500,700,800,1100,1200,,,100,200,200,200,100,300,100,,
Phrygian Major,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2048",100,300,500,700,900,1100,1200,,,100,200,200,200,200,200,100,,
Major Locrian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2049",200,400,500,600,800,1000,1200,,,200,200,100,100,200,200,200,,
Minor Locrian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2050",200,300,500,600,800,1000,1200,,,200,100,200,100,200,200,200,,
Locrian Minor,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2051",200,300,500,600,800,1100,1200,,,200,100,200,100,200,300,100,,
Super Locrian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2052",100,300,400,600,800,1000,1200,,,100,200,100,200,200,200,200,,
Ultra Locrian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2053",100,300,400,600,800,900,1200,,,100,200,100,200,200,100,300,,
Oriental,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2054",100,300,500,600,900,1000,1200,,,100,200,200,100,300,100,200,,
Doric Locrian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2055",200,300,500,600,900,1000,1200,,,200,100,200,100,300,100,200,,
Persian,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2056",100,400,500,600,900,1000,1200,,,100,300,100,100,300,100,200,,
Tcherepnin Enneatonic,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2057",100,300,400,500,700,800,900,1100,1200,100,200,100,100,200,100,100,200,100
Tcherepnin Hexatonic,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2058",100,400,500,800,900,1200,,,,100,300,100,300,100,300,,,
Shostakovich,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2059",100,300,400,700,800,1000,1200,,,100,200,100,300,100,200,200,,
Hijaz,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2060",100,400,500,700,800,1000,1200,,,100,300,100,200,100,200,200,,
Hijaz,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2060",112,386,498,702,814,1018,1200,,,112,275,112,204,112,204,182,,
Souzinak,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2061",200,300,600,700,900,1000,1200,,,200,100,300,100,200,100,200,,
Souzinak,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2061",204,316,590,702,884,1018,1200,,,204,112,275,112,182,133,182,,
Hijazkiar,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2062",100,400,500,700,800,1100,1200,,,100,300,100,200,100,300,100,,
Hijazkiar,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2062",112,386,498,702,814,1088,1200,,,112,275,112,204,112,275,112,,
Rast,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2063",200,400,500,700,900,1100,1200,,,200,200,100,200,200,200,100,,
Rast,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2063",204,386,498,702,884,1088,1200,,,204,182,112,204,182,204,112,,
Houzam,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2064",300,400,500,700,800,1100,1200,,,300,100,100,200,100,300,100,,
Houzam,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2064",316,386,498,702,814,1088,1200,,,316,71,112,204,112,275,112,,
Ousak,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2065",100,300,500,700,800,1000,1200,,,100,200,200,200,100,200,200,,
Ousak,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2065",112,316,498,702,814,1018,1200,,,112,204,182,204,112,204,182,,
Niaventi,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2066",200,300,600,700,800,1100,1200,,,200,100,300,100,100,300,100,,
Niaventi,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2066",204,316,590,702,814,1088,1200,,,204,112,275,112,112,275,112,,
Kiordi,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2067",200,300,500,700,800,1000,1200,,,200,100,200,200,100,200,200,,
Kiordi,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2067",204,316,498,702,814,1018,1200,,,204,112,182,204,112,204,182,,
Tsinganikos,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2068",100,400,500,600,900,1000,1200,,,100,300,100,100,300,100,200,,
Tsinganikos,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2068",112,386,498,590,884,1018,1200,,,112,275,112,92,294,133,182,,
Periaiotikos,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2069",300,400,600,700,900,1100,1200,,,300,100,200,100,200,200,100,,
Periaiotikos,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2069",316,386,590,702,884,1088,1200,,,316,71,204,112,182,204,112,,
Sabach,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2070",200,300,400,700,800,1000,1200,,,200,100,100,300,100,200,200,,
Sabach,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2070",204,316,386,702,814,1018,1200,,,204,112,71,316,112,204,182,,
Segiah,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2071",300,400,500,700,800,1000,1200,,,300,100,100,200,100,200,200,,
Segiah,Greek Folk,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2071",316,386,498,702,814,1018,1200,,,316,71,112,204,112,204,182,,
Pentatonic 1,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2072",200,400,700,900,1200,,,,,200,200,300,200,300,,,,
Pentatonic 1,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2072",204,386,702,884,1200,,,,,204,182,316,182,316,,,,
Pentatonic 1,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2072",204,408,702,905,1200,,,,,204,204,294,203,295,,,,
Pentatonic 2,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2073",200,500,700,900,1200,,,,,200,300,200,200,300,,,,
Pentatonic 2,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2073",204,498,702,884,1200,,,,,204,294,204,182,316,,,,
Pentatonic 2,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2073",204,498,702,905,1200,,,,,204,294,204,203,295,,,,
Pentatonic 3,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2074",200,500,700,1000,1200,,,,,200,300,200,300,200,,,,
Pentatonic 3,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2074",204,498,702,1018,1200,,,,,204,294,204,316,182,,,,
Pentatonic 3,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2074",204,498,702,996,1200,,,,,204,294,204,294,204,,,,
Pentatonic 4,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2075",300,500,700,1000,1200,,,,,300,200,200,300,200,,,,
Pentatonic 4,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2075",316,498,702,1018,1200,,,,,316,182,204,316,182,,,,
Pentatonic 4,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2075",294,498,702,996,1200,,,,,294,204,204,294,204,,,,
Pentatonic 5,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2076",300,500,800,1000,1200,,,,,300,200,300,200,200,,,,
Pentatonic 5,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2076",316,498,814,1018,1200,,,,,316,182,316,204,182,,,,
Pentatonic 5,Western Classical,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2076",294,498,792,996,1200,,,,,294,204,294,204,204,,,,
Minor Blues,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2077",300,500,600,700,1000,1200,,,,300,200,100,100,300,200,,,
Major Blues,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2078",200,300,400,700,900,1200,,,,200,100,100,300,200,300,,,
Bebop Dominant,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2079",200,400,500,700,900,1000,1100,1200,,200,200,100,200,200,100,100,100,
Bebop Major,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2080",200,400,500,700,800,900,1100,1200,,200,200,100,200,100,100,200,100,
Bebop Minor,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2081",200,300,500,700,800,1000,1100,1200,,200,100,200,200,100,200,100,100,
Bebop Melodic Minor,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2082",200,300,500,700,800,900,1100,1200,,200,100,200,200,100,100,200,100,
Bebop Dorian,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2083",200,300,400,500,700,900,1000,1200,,200,100,100,100,200,200,100,200,
Jazz Minor,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2084",200,300,500,700,900,1100,1200,,,200,100,200,200,200,200,100,,
Jazz Harmonic Minor,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2085",200,300,500,700,800,1100,1200,,,200,100,200,200,100,300,100,,
Augmented,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2086",200,400,600,800,1000,1200,,,,200,200,200,200,200,200,,,
Diminished,Jazz,Western,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2087",100,300,400,600,700,900,1000,1200,,100,200,100,200,100,200,100,200,
Ryo,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2088",200,400,700,900,1200,,,,,200,200,300,200,300,,,,
Ryo,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2088",204,408,702,905,1200,,,,,204,204,294,203,295,,,,
Ritsu,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2089",200,500,700,900,1200,,,,,200,300,200,200,300,,,,
Ritsu,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2089",204,498,702,905,1200,,,,,204,294,204,203,295,,,,
Minyo,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2090",300,500,700,1000,1200,,,,,300,200,200,300,200,,,,
Minyo,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2090",294,498,702,996,1200,,,,,294,204,204,294,204,,,,
Hirajoshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2091",200,300,700,800,1200,,,,,200,100,400,100,400,,,,
Hirajoshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2091",204,294,702,792,1200,,,,,204,90,408,90,408,,,,
Kumoi Joshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2092",100,500,700,800,1200,,,,,100,400,200,100,400,,,,
